portfolio,window_end,forward_start,forward_end,forward_months,posterior_alpha,performance_rank,quintile,forward_alpha_monthly,forward_alpha_annualized_bps
ME1 BM2,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.000917147296342646,21,1,0.0034469713744286466,413.6365649314376
ME5 BM3,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.0009676544533024786,22,1,-0.00022789626889843707,-27.34755226781245
ME5 BM4,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.0013044902208469375,23,1,-0.0016529341729310107,-198.35210075172128
ME2 BM1,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.002374920427280658,24,1,0.00520837145819314,625.0045749831769
SMALL LoBM,1994-06-30 23:59:59.999999999,1994-07-31 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,-0.003167685676908014,25,1,-0.0062872476599103175,-754.4697191892382
ME2 BM3,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0021640382383235944,1,5,-0.0066471849069651145,-797.6621888358137
BIG LoBM,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.001638289980477769,2,5,0.002360151697270192,283.21820367242304
ME4 BM1,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0013535183022159011,3,5,0.00032356230899628375,38.82747707955405
ME2 BM4,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0013299477263698965,4,5,0.0023173148178620966,278.0777781434516
ME3 BM4,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0011734583704208878,5,5,0.0005847127589993841,70.1655310799261
ME1 BM4,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0011455177218696506,6,4,0.003999011889438093,479.88142673257113
ME3 BM5,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0008018384480888055,7,4,-0.004762715252726765,-571.5258303272118
ME3 BM1,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0007901211811941015,8,4,-0.0036054098671468274,-432.6491840576193
ME3 BM2,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0007797844311950292,9,4,-0.004359645718736237,-523.1574862483485
SMALL HiBM,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0004916570741950366,10,4,0.0019483080427375211,233.79696512850253
ME4 BM2,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0003571262831978736,11,3,-0.008342327313637534,-1001.0792776365041
ME4 BM5,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.0001891770839225877,12,3,-0.004371608954106105,-524.5930744927325
ME5 BM2,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,0.00018901119620289887,13,3,-0.002504830867152128,-300.57970405825534
ME2 BM2,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,9.467519220801097e-05,14,3,0.0007607586077339638,91.29103292807567
ME4 BM4,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,7.180677359286523e-05,15,3,-0.0035370310200648135,-424.4437224077776
ME1 BM3,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,4.54922405860908e-05,16,2,0.0039017375043459385,468.2085005215126
BIG HiBM,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,-0.00011254164098785682,17,2,0.003112898867988235,373.5478641585882
ME2 BM5,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,-0.0002890590344303047,18,2,0.0005466865053303961,65.60238063964754
ME3 BM3,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,-0.0003509029947001112,19,2,-0.003458606438011288,-415.0327725613546
ME4 BM3,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,-0.0004376506339488955,20,2,-0.005911731870046114,-709.4078244055337
ME1 BM2,1995-06-30 23:59:59.999999999,1995-07-31 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,-0.00046650603165436467,21,1,0.003974232630011936,476.90791560143236
