date_t,date_t_plus_h,horizon_months,window_length_months,window_overlap_fraction,structural_inference_eligible,n_portfolios,spearman_rank_autocorrelation,pearson_score_autocorrelation,average_absolute_rank_change,top_quintile_stay_probability,bottom_quintile_stay_probability
1958-06-30 23:59:59.999999999,1963-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5384615384615384,0.5366216920006914,5.6,0.6,0.2
1959-06-30 23:59:59.999999999,1964-06-30 23:59:59.999999999,60,120,0.5,False,25,0.51,0.4785723873501132,6.0,0.6,0.2
1960-06-30 23:59:59.999999999,1965-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6169230769230769,0.6511000593414572,5.04,0.6,0.2
1961-06-30 23:59:59.999999999,1966-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5976923076923077,0.6088588347796514,4.88,0.6,0.4
1962-06-30 23:59:59.999999999,1967-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5907692307692308,0.5673697640412155,4.8,0.8,0.6
1963-06-30 23:59:59.999999999,1968-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6653846153846155,0.6846947968900148,4.64,0.4,0.8
1964-06-30 23:59:59.999999999,1969-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6869230769230769,0.6870838033709844,4.48,0.4,0.6
1965-06-30 23:59:59.999999999,1970-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6538461538461537,0.6541800746878785,4.88,0.4,0.8
1966-06-30 23:59:59.999999999,1971-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7192307692307691,0.6626993213033089,4.48,0.6,0.6
1967-06-30 23:59:59.999999999,1972-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5900000000000001,0.5576266107703425,5.28,0.4,0.6
1968-06-30 23:59:59.999999999,1973-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4392307692307692,0.45772668848440135,5.6,0.4,0.4
1969-06-30 23:59:59.999999999,1974-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4715384615384615,0.4381466239044645,5.92,0.2,0.4
1970-06-30 23:59:59.999999999,1975-06-30 23:59:59.999999999,60,120,0.5,False,25,0.43692307692307686,0.3900839748492441,5.92,0.2,0.4
1971-06-30 23:59:59.999999999,1976-06-30 23:59:59.999999999,60,120,0.5,False,25,0.2946153846153846,0.21112332539152967,7.44,0.2,0.2
1972-06-30 23:59:59.999999999,1977-06-30 23:59:59.999999999,60,120,0.5,False,25,0.40461538461538454,0.4214932027958692,5.92,0.2,0.4
1973-06-30 23:59:59.999999999,1978-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4815384615384616,0.5020328466475303,6.08,0.2,0.4
1974-06-30 23:59:59.999999999,1979-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3676923076923077,0.49276712943133844,6.8,0.2,0.4
1975-06-30 23:59:59.999999999,1980-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3484615384615385,0.431706814565752,6.08,0.4,0.6
1976-06-30 23:59:59.999999999,1981-06-30 23:59:59.999999999,60,120,0.5,False,25,0.05538461538461539,0.16723403627012734,7.92,0.0,0.4
1977-06-30 23:59:59.999999999,1982-06-30 23:59:59.999999999,60,120,0.5,False,25,0.15384615384615383,0.03482798650741583,7.92,0.4,0.2
1978-06-30 23:59:59.999999999,1983-06-30 23:59:59.999999999,60,120,0.5,False,25,0.31384615384615383,0.13352421075782106,6.64,0.4,0.2
1979-06-30 23:59:59.999999999,1984-06-30 23:59:59.999999999,60,120,0.5,False,25,0.14307692307692307,0.12317336921979904,7.84,0.0,0.2
1980-06-30 23:59:59.999999999,1985-06-30 23:59:59.999999999,60,120,0.5,False,25,0.13846153846153847,0.13353252288640527,7.12,0.0,0.2
1981-06-30 23:59:59.999999999,1986-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3646153846153847,0.2859118661245654,6.64,0.2,0.6
1982-06-30 23:59:59.999999999,1987-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3576923076923077,0.4950483696869568,6.4,0.4,0.6
1983-06-30 23:59:59.999999999,1988-06-30 23:59:59.999999999,60,120,0.5,False,25,0.42230769230769233,0.458436063257295,6.24,0.2,0.6
1984-06-30 23:59:59.999999999,1989-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6938461538461538,0.5002315166852,4.32,0.4,0.4
1985-06-30 23:59:59.999999999,1990-06-30 23:59:59.999999999,60,120,0.5,False,25,0.2453846153846154,0.4131859585738055,6.72,0.2,0.6
1986-06-30 23:59:59.999999999,1991-06-30 23:59:59.999999999,60,120,0.5,False,25,0.22461538461538463,0.3744651370556332,7.44,0.4,0.2
1987-06-30 23:59:59.999999999,1992-06-30 23:59:59.999999999,60,120,0.5,False,25,0.18076923076923077,0.27146269849788085,7.28,0.4,0.2
1988-06-30 23:59:59.999999999,1993-06-30 23:59:59.999999999,60,120,0.5,False,25,0.09999999999999999,0.25894983952323436,7.68,0.4,0.2
1989-06-30 23:59:59.999999999,1994-06-30 23:59:59.999999999,60,120,0.5,False,25,0.2076923076923077,0.4999622533095545,7.12,0.6,0.4
1990-06-30 23:59:59.999999999,1995-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6623076923076924,0.780169341698047,4.56,0.8,0.8
1991-06-30 23:59:59.999999999,1996-06-30 23:59:59.999999999,60,120,0.5,False,25,0.8084615384615383,0.8551134795850341,3.84,0.8,0.6
1992-06-30 23:59:59.999999999,1997-06-30 23:59:59.999999999,60,120,0.5,False,25,0.816923076923077,0.8846278423382492,3.52,0.8,0.6
1993-06-30 23:59:59.999999999,1998-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7638461538461538,0.8199026617590512,4.0,0.8,0.4
1994-06-30 23:59:59.999999999,1999-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7323076923076922,0.7946260418280733,4.24,0.6,0.4
1995-06-30 23:59:59.999999999,2000-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7738461538461539,0.7870816646695027,3.92,0.6,0.6
1996-06-30 23:59:59.999999999,2001-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7215384615384615,0.778048370597814,3.92,0.6,0.8
1997-06-30 23:59:59.999999999,2002-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5315384615384615,0.7101612343755536,5.36,0.4,0.6
1998-06-30 23:59:59.999999999,2003-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5315384615384615,0.6848287883184323,5.04,0.6,0.4
1999-06-30 23:59:59.999999999,2004-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5900000000000001,0.7469576100700709,4.96,0.8,0.4
2000-06-30 23:59:59.999999999,2005-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7015384615384616,0.8331300968114663,3.6,0.8,0.6
2001-06-30 23:59:59.999999999,2006-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7707692307692308,0.8333087044698686,3.44,1.0,0.6
2002-06-30 23:59:59.999999999,2007-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7530769230769231,0.8360168984078903,4.16,0.6,0.6
2003-06-30 23:59:59.999999999,2008-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6084615384615384,0.6629565263449034,4.64,0.6,0.6
2004-06-30 23:59:59.999999999,2009-06-30 23:59:59.999999999,60,120,0.5,False,25,0.43999999999999995,0.5037800956853666,5.84,0.6,0.4
2005-06-30 23:59:59.999999999,2010-06-30 23:59:59.999999999,60,120,0.5,False,25,0.3923076923076923,0.5051750983682228,5.84,0.6,0.4
2006-06-30 23:59:59.999999999,2011-06-30 23:59:59.999999999,60,120,0.5,False,25,0.44846153846153847,0.5506180563024371,6.08,0.4,0.4
2007-06-30 23:59:59.999999999,2012-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4992307692307692,0.629101278046242,6.08,0.4,0.4
2008-06-30 23:59:59.999999999,2013-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6953846153846154,0.7544589031717515,4.32,0.6,0.6
2009-06-30 23:59:59.999999999,2014-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7461538461538462,0.7598708848021118,4.0,0.6,0.6
2010-06-30 23:59:59.999999999,2015-06-30 23:59:59.999999999,60,120,0.5,False,25,0.7938461538461539,0.8155603940476646,3.6,0.4,0.8
2011-06-30 23:59:59.999999999,2016-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6292307692307691,0.7392053550459262,5.28,0.4,0.8
2012-06-30 23:59:59.999999999,2017-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5107692307692308,0.6412628965827923,5.84,0.0,0.6
2013-06-30 23:59:59.999999999,2018-06-30 23:59:59.999999999,60,120,0.5,False,25,0.5584615384615385,0.6125948604910438,4.96,0.4,0.8
2014-06-30 23:59:59.999999999,2019-06-30 23:59:59.999999999,60,120,0.5,False,25,0.4992307692307692,0.4897715775834811,5.68,0.4,0.6
2015-06-30 23:59:59.999999999,2020-06-30 23:59:59.999999999,60,120,0.5,False,25,0.653076923076923,0.6247940639199664,4.96,0.6,0.4
2016-06-30 23:59:59.999999999,2021-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6015384615384615,0.5578076953834571,4.64,0.6,0.4
2017-06-30 23:59:59.999999999,2022-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6761538461538462,0.6751492325449702,4.32,0.8,0.6
2018-06-30 23:59:59.999999999,2023-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6130769230769231,0.7206329963521909,4.32,0.8,0.4
2019-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,60,120,0.5,False,25,0.6238461538461538,0.6898021774114076,4.56,0.6,0.6
2020-06-30 23:59:59.999999999,2025-06-30 23:59:59.999999999,60,120,0.5,False,25,0.40230769230769226,0.4358729055491457,5.6,0.6,0.4
1936-06-30 23:59:59.999999999,1946-06-30 23:59:59.999999999,120,120,0.0,True,25,0.03769230769230769,0.06392090627310645,8.0,0.4,0.2
1937-06-30 23:59:59.999999999,1947-06-30 23:59:59.999999999,120,120,0.0,True,25,-0.02692307692307692,-0.04920341753191482,7.84,0.4,0.2
1938-06-30 23:59:59.999999999,1948-06-30 23:59:59.999999999,120,120,0.0,True,25,0.03846153846153846,0.030929213901231975,7.92,0.0,0.2
